29170d29169
> "2019311211","2019311211544100","5441","0","traffic-accident","traffic-accident","5/18/2019 3:52:00 PM","","5/18/2019 3:52:00 PM","TREMONT PL / 25TH ST","3146573","1699068","-104.97871090","39.75159230","6","621","five-points","0","1"
> "2019306082","2019306082131300","1313","0","assault-simple","other-crimes-against-persons","5/16/2019 10:30:00 AM","5/16/2019 11:28:00 AM","5/16/2019 11:28:00 AM","1550 N BROADWAY ST","3144340","1695281","-104.98672850","39.74123120","6","621","north-capitol-hill","1","0"
> "2019313641","2019313641220200","2202","0","burglary-residence-by-force","burglary","5/19/2019 3:00:00 PM","5/19/2019 9:00:00 PM","5/19/2019 11:10:00 PM","1250 N VERBENA ST","3171487","1693747","-104.89023340","39.73655950","2","223","east-colfax","1","0"
> "2019313819","2019313819544100","5441","0","traffic-accident","traffic-accident","5/19/2019 11:04:00 PM","","5/19/2019 11:04:00 PM","1500 BLOCK MILE HIGH STADIUM CIR","3135589","1695206","-105.01784780","39.74115690","1","121","sun-valley","0","1"
> "2019309595","2019309595120500","1205","0","robbery-street","robbery","5/17/2019 7:02:00 PM","","5/17/2019 8:42:00 PM","","3171244","1683065","-104.89135190","39.70723990","3","321","windsor","1","0"
> "2019313613","2019313613570700","5707","0","criminal-trespassing","all-other-crimes","5/19/2019 8:33:00 PM","","5/19/2019 9:12:00 PM","","3133676","1677627","-105.02497710","39.69292660","4","422","ruby-hill","1","0"
> "2019301645","2019301645230300","2303","0","theft-shoplift","larceny","5/14/2019 2:40:00 PM","","5/14/2019 2:40:00 PM","1701 WEWATTA ST","3140198","1700083","-105.00136340","39.75447680","6","612","union-station","1","0"
> "2019310843","2019310843230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/17/2019 6:30:00 PM","5/18/2019 12:15:00 PM","5/18/2019 12:17:00 PM","1650 S COLORADO BLVD","3157598","1675453","-104.940019","39.68658430","3","322","virginia-village","1","0"
> "20196004379","20196004379239900","2399","0","theft-other","larceny","5/4/2018 10:05:00 PM","5/4/2019 11:05:00 PM","5/17/2019 4:13:00 PM","","3144262","1692483","-104.98706210","39.73355140","6","623","capitol-hill","1","0"
> "2019309889","2019309889544100","5441","0","traffic-accident","traffic-accident","5/17/2019 9:50:00 PM","","5/17/2019 9:50:00 PM","I25 HWYNB / W 48TH AVE","3143570","1710878","-104.98915470","39.78405930","1","112","globeville","0","1"
> "2019308294","2019308294544100","5441","0","traffic-accident","traffic-accident","5/17/2019 9:23:00 AM","","5/17/2019 10:33:00 AM","I70 HWYEB / N NORTHFIELD QUEBEC ST","3167637","1708927","-104.90356830","39.77830090","2","221","northeast-park-hill","0","1"
> "2019311852","2019311852540100","5401","0","traffic-accident-hit-and-run","traffic-accident","5/18/2019 10:05:00 PM","","5/18/2019 11:45:00 PM","E COLFAX AVE / N MONROE ST","3155974","1694955","-104.94536620","39.74014850","2","213","congress-park","0","1"
> "2019311891","2019311891357200","3572","0","drug-methampetamine-possess","drug-alcohol","5/18/2019 10:22:00 PM","","5/19/2019 12:12:00 AM","505 E COLFAX AVE","3146003","1694949","-104.98082180","39.74029380","6","621","north-capitol-hill","1","0"
> "2019313274","2019313274230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/19/2019 4:32:00 PM","","5/19/2019 5:45:00 PM","5375 W 10TH AVE","3125094","1692507","-105.05521420","39.73389460","1","122","villa-park","1","0"
> "2019311607","2019311607230300","2303","0","theft-shoplift","larceny","5/18/2019 7:41:00 PM","","5/18/2019 9:02:00 PM","3100 S SHERIDAN BLVD","3126090","1663710","-105.05217760","39.65482660","4","423","harvey-park-south","1","0"
> "20196004358","20196004358239900","2399","0","theft-other","larceny","5/16/2019 6:30:00 PM","5/16/2019 6:45:00 PM","5/17/2019 8:55:00 AM","3334 N HOLLY ST","3162461","1703790","-104.92209960","39.764291","2","221","northeast-park-hill","1","0"
> "2019312206","2019312206131402","1314","2","weapon-fire-into-occ-bldg","aggravated-assault","5/18/2019 11:48:00 PM","","5/19/2019 3:41:00 AM","","3125993","1680179","-105.05223380","39.70003950","4","412","westwood","1","0"
> "2019308992","2019308992549900","5499","0","traf-other","all-other-crimes","5/17/2019 2:39:00 PM","","5/17/2019 3:27:00 PM","S MONACO ST / E EVANS AVE","3165274","1672542","-104.912812","39.67845990","3","323","goldsmith","1","0"
> "2019309496","2019309496501600","5016","0","violation-of-restraining-order","all-other-crimes","4/1/2019 12:00:00 AM","5/17/2019 6:13:00 PM","5/17/2019 6:13:00 PM","19200 BLK E 58TH AVE","3206998","1717886","-104.76327380","39.80210150","5","522","dia","1","0"
> "2019312037","2019312037240400","2404","0","theft-of-motor-vehicle","auto-theft","5/18/2019 10:30:00 PM","","5/18/2019 11:43:00 PM","2280 S MONACO ST","3165489","1671409","-104.91207420","39.67534580","3","323","goldsmith","1","0"
> "2019127731","2019127731131302","1313","2","assault-dv","other-crimes-against-persons","2/26/2019 5:15:00 PM","","2/26/2019 6:25:00 PM","","3133001","1687283","-105.02719710","39.71944410","4","411","barnum","1","0"
> "2019308634","2019308634230300","2303","0","theft-shoplift","larceny","5/17/2019 12:01:00 PM","","5/17/2019 1:14:00 PM","3870 N QUEBEC ST","3168333","1706036","-104.90115990","39.77035220","5","512","stapleton","1","0"
> "2019309075","2019309075230500","2305","0","theft-items-from-vehicle","theft-from-motor-vehicle","5/14/2019 11:00:00 PM","5/16/2019 3:00:00 PM","5/17/2019 3:16:00 PM","150 W 9TH AVE","3143499","1690969","-104.98980520","39.729407","6","611","civic-center","1","0"
> "2019313322","2019313322131300","1313","0","assault-simple","other-crimes-against-persons","5/19/2019 5:05:00 PM","","5/19/2019 5:05:00 PM","4280 N COLUMBINE ST","3152677","1708050","-104.95681140","39.776151","2","212","elyria-swansea","1","0"
> "2019313209","2019313209299900","2999","0","criminal-mischief-other","public-disorder","5/18/2019 9:30:00 PM","5/19/2019 7:30:00 AM","5/19/2019 4:47:00 PM","1275 N BIRCH ST","3158488","1693431","-104.93646040","39.73592240","2","222","hale","1","0"
